INT_SQFT,DATE_SALE,DIST_MAINROAD,N_BEDROOM,N_BATHROOM,N_ROOM,SALE_COND,PARK_FACIL,DATE_BUILD,BUILDTYPE,UTILITY_AVAIL,STREET,MZZONE,SALES_PRICE,AREA_UNIQUE,AGE
916,2008,32,1,1,3,Normal_sale,1,2001,House,ELO,No Access,A,5847520,Adayar,7
1691,2011,100,2,2,4,Abnormal,0,1992,House,NoSeWa,Gravel,RM,9398750,Karapakkam,19
1915,2011,13,2,1,5,Partial,1,1987,Others,NoSeWa,Gravel,RH,14175620,Anna_Nagar,24
1724,2006,116,2,1,4,Abnormal,1,2003,House,ELO,No Access,RL,8956480,Velachery,3
1233,2008,24,2,1,4,Abnormal,0,1989,House,NoSeWa,Gravel,RM,9817150,Chrompet,19
627,2011,49,1,1,2,Family,0,1983,House,NoSeWa,Gravel,RM,6587500,Karapakkam,28
692,2008,62,1,1,2,Normal_sale,1,1998,Commercial,AllPub,Paved,RH,10381355,Adayar,10
1518,2008,145,1,1,4,Family,1,1985,Commercial,AllPub,Paved,RH,17600240,T_Nagar,23
1025,2008,125,1,1,3,Partial,0,1969,Commercial,NoSeWa,Paved,I,10934875,Adayar,39
1546,2008,129,2,1,4,Abnormal,0,1976,Commercial,AllPub,Gravel,RM,14241140,KK_Nagar,32
1659,2013,103,1,1,4,Adjland,1,1993,Others,NoSeWa,No Access,RL,13539080,T_Nagar,20
755,2015,8,1,1,2,Normal_sale,0,1961,Commercial,ELO,Gravel,RM,10727750,Chrompet,54
735,2012,67,1,1,2,Adjland,0,1964,Commercial,NoSeWa,No Access,RH,9478710,Adayar,48
1534,2005,6,2,1,4,Partial,1,1993,Others,ELO,Paved,C,7904210,Velachery,12
2198,2008,71,3,2,5,Partial,1,1982,Others,NoSeWa,Gravel,RM,13584980,KK_Nagar,26
1293,2014,34,2,1,4,Normal_sale,0,1985,Commercial,ELO,No Access,RL,13116050,Chrompet,29
1950,2005,185,3,2,5,Adjland,1,1998,Others,NoSeWa,Paved,RL,12105920,Velachery,7
905,2009,144,1,1,3,Family,0,1982,Others,ELO,Gravel,RH,7703200,Chrompet,27
1517,2010,40,2,1,4,Family,0,1997,Commercial,ELO,Paved,C,11671620,Velachery,13
1755,2009,142,2,1,4,Family,1,1980,Commercial,NoSeWa,Gravel,I,14915900,Velachery,29
821,2014,34,1,1,3,Adjland,0,1961,House,NoSeWa,Paved,RH,7304000,Chrompet,53
1694,2008,72,2,1,4,Family,0,2007,Others,NoSeWa,Gravel,RL,10390900,KK_Nagar,1
1401,2011,20,2,2,4,Partial,1,1999,Others,AllPub,Gravel,RL,9965375,Karapakkam,12
1023,2007,44,1,1,3,Partial,1,1977,House,AllPub,Paved,RM,9735150,Chrompet,30
1729,2008,144,2,1,4,Partial,1,1982,Commercial,NoSeWa,Paved,A,12803570,Velachery,26
711,2014,116,1,1,2,Adjland,1,1973,Others,NoSeWa,No Access,RL,8050270,Chrompet,41
1437,2012,104,2,1,4,Family,0,1968,Others,AllPub,Gravel,RM,10200600,KK_Nagar,44
1430,2009,17,2,2,4,Abnormal,1,2006,Others,NoSeWa,No Access,A,6635750,Karapakkam,3
1352,2010,1,2,2,4,Normal_sale,1,1980,House,ELO,Gravel,A,6507250,Karapakkam,30
1758,2008,164,1,1,4,Partial,1,1986,Commercial,AllPub,No Access,RL,19285540,Anna_Nagar,22
607,2010,121,1,1,2,Normal_sale,0,1980,Others,NoSeWa,Gravel,RL,5856625,Karapakkam,30
950,2009,177,1,1,3,Normal_sale,1,1972,Others,NoSeWa,Gravel,RL,9759000,Chrompet,37
1873,2007,0,3,2,5,Family,1,1971,Others,ELO,No Access,RL,11022270,Velachery,36
721,2010,145,1,1,2,Partial,0,1970,Others,NoSeWa,Paved,RL,7605550,Adayar,40
1190,2011,37,1,1,3,Family,1,1991,House,NoSeWa,Gravel,RH,7967750,Karapakkam,20
1195,2011,93,1,1,3,Adjland,0,1987,Others,NoSeWa,Paved,RL,9821600,Chrompet,24
1824,2009,187,3,2,5,Normal_sale,0,1983,House,NoSeWa,Paved,I,8549060,Velachery,26
1898,2007,108,3,2,5,Adjland,1,2004,Commercial,ELO,No Access,RM,16617860,Velachery,3
1506,2007,122,1,1,4,Family,0,1988,House,ELO,No Access,RM,10449910,Anna_Nagar,19
1020,2014,95,1,1,3,Family,0,1966,House,NoSeWa,No Access,RM,7948600,Chrompet,48
1015,2012,147,1,1,3,Family,1,2005,House,AllPub,Paved,RH,8342850,Chrompet,7
1682,2011,78,1,1,4,Abnormal,0,1952,Commercial,AllPub,Gravel,RH,18662350,T_Nagar,59
869,2013,39,1,1,3,Family,0,1981,Others,NoSeWa,No Access,RM,8172630,Chrompet,32
857,2010,158,1,1,2,Normal_sale,0,1977,House,ELO,Paved,I,4928250,Karapakkam,33
1055,2010,174,1,1,3,Adjland,1,1990,Others,NoSeWa,Gravel,I,7315125,Karapakkam,20
1778,2011,94,3,2,5,Family,0,2003,Others,NoSeWa,Gravel,RL,10998320,KK_Nagar,8
1021,2008,82,1,1,3,Partial,1,1980,Others,NoSeWa,No Access,RL,9201770,Chrompet,28
2203,2010,76,3,2,5,Abnormal,1,2001,Commercial,NoSeWa,Paved,RL,17891240,KK_Nagar,9
613,2010,81,1,1,2,Family,0,1975,Commercial,NoSeWa,No Access,I,5144500,Karapakkam,35
738,2007,69,1,1,2,Partial,0,1967,Commercial,NoSeWa,No Access,I,8312670,Adayar,40
1489,2011,177,2,2,4,Adjland,0,1983,House,ELO,Gravel,RH,8007250,Karapakkam,28
795,2009,73,1,1,2,Abnormal,1,1977,House,NoSeWa,Gravel,RM,8479250,Karapakkam,32
1909,2012,11,3,2,5,Family,1,2003,Others,AllPub,Gravel,A,10129160,Velachery,9
1252,2011,190,2,1,4,Family,0,1966,House,AllPub,No Access,RM,9482200,Chrompet,45
1524,2008,73,2,1,4,Normal_sale,0,1980,Others,NoSeWa,Paved,RH,8675820,KK_Nagar,28
1843,2009,158,2,1,5,Adjland,0,2008,House,ELO,No Access,RL,12264750,Anna_Nagar,1
1918,2009,187,2,1,5,Partial,1,1996,Commercial,AllPub,Gravel,RL,21875050,Anna_Nagar,13
1507,2008,54,2,1,4,Normal_sale,1,1971,Commercial,AllPub,Paved,RH,13538580,KK_Nagar,37
1526,2012,64,2,1,4,Normal_sale,1,1971,Commercial,AllPub,Paved,RH,13645040,KK_Nagar,41
1846,2009,28,3,2,5,Abnormal,0,1983,House,AllPub,Gravel,RM,10815830,Velachery,26
2019,2010,65,3,2,5,Abnormal,1,2002,Others,NoSeWa,Paved,RM,12802500,KK_Nagar,8
662,2011,148,1,1,2,Partial,0,1994,Commercial,NoSeWa,No Access,C,4356500,Karapakkam,17
1005,2010,17,1,1,3,Family,0,1981,Commercial,NoSeWa,Gravel,RL,12257100,Chrompet,29
1698,2008,76,1,1,4,Partial,0,1989,House,AllPub,No Access,RM,11527430,Anna_Nagar,19
878,2008,16,1,1,3,Partial,1,1995,House,NoSeWa,Paved,A,6452785,Adayar,13
835,2008,77,1,1,3,Partial,1,1982,House,ELO,Paved,RM,8434750,Chrompet,26
2342,2011,69,4,2,6,Adjland,1,1990,House,NoSeWa,Paved,RL,12898740,KK_Nagar,21
1835,2007,88,3,2,5,Normal_sale,0,1998,Others,AllPub,Paved,RL,10722580,Velachery,9
1961,2011,104,3,2,5,Abnormal,1,1981,Commercial,NoSeWa,Gravel,RM,17612900,KK_Nagar,30
1700,2009,135,1,1,4,Normal_sale,1,1952,Others,NoSeWa,No Access,RH,12477040,Anna_Nagar,57
980,2008,84,1,1,3,Normal_sale,0,2002,Commercial,NoSeWa,Paved,RL,11900750,Chrompet,6
1878,2011,18,3,2,5,Family,0,1987,Commercial,AllPub,Paved,C,14328720,Velachery,24
1699,2011,98,2,1,4,Normal_sale,1,1975,Others,NoSeWa,Gravel,RL,11444100,KK_Nagar,36
1626,2012,188,2,1,4,Abnormal,0,1980,House,AllPub,Paved,RM,9680280,KK_Nagar,32
996,2007,78,1,1,3,Family,0,1964,Others,ELO,Gravel,RL,8939620,Chrompet,43
1776,2010,120,2,1,4,Normal_sale,1,1983,House,NoSeWa,Paved,RH,9989170,Velachery,27
1402,2011,112,2,2,4,Normal_sale,0,1976,House,NoSeWa,Gravel,I,6966500,Karapakkam,35
1160,2008,138,1,1,3,Adjland,1,1998,Others,AllPub,No Access,RH,9463900,Chrompet,10
1859,2008,142,3,2,5,Normal_sale,1,1969,House,ELO,Paved,RH,9925210,Velachery,39
1024,2012,77,1,1,3,Normal_sale,1,1999,Commercial,AllPub,No Access,RH,12091400,Chrompet,13
1276,2013,141,2,1,4,Normal_sale,0,1993,Others,NoSeWa,Paved,RL,9604120,Chrompet,20
1024,2012,142,1,1,3,Abnormal,1,1974,House,NoSeWa,No Access,C,4748500,Karapakkam,38
1249,2010,93,2,2,4,Adjland,0,2006,Commercial,NoSeWa,Paved,A,12642285,Adayar,4
2467,2011,69,4,2,6,Adjland,0,2009,House,AllPub,Gravel,RL,12650920,KK_Nagar,2
1837,2007,81,2,1,5,Adjland,1,2006,House,ELO,No Access,RL,13197230,T_Nagar,1
2189,2011,1,3,2,5,Adjland,1,1997,Commercial,AllPub,Gravel,RH,18249860,KK_Nagar,14
1788,2008,145,1,1,4,Adjland,1,1984,Others,ELO,No Access,RL,14225180,T_Nagar,24
1615,2004,31,2,1,4,Abnormal,0,1997,House,ELO,Paved,I,8019280,Velachery,7
1755,2014,85,1,1,4,Adjland,0,1986,House,NoSeWa,No Access,RL,11410310,Anna_Nagar,28
1678,2011,70,2,2,4,Partial,1,1976,Commercial,NoSeWa,Gravel,C,11883250,Karapakkam,35
1755,2006,103,2,1,4,Abnormal,1,2000,Others,ELO,No Access,C,8762820,Velachery,6
901,2006,106,1,1,3,Partial,0,1985,Others,AllPub,Gravel,I,7643255,Adayar,21
1942,2006,126,3,2,5,Partial,1,1971,Commercial,AllPub,No Access,RL,16212650,Velachery,35
1798,2008,23,2,1,4,Family,1,1981,Commercial,AllPub,Gravel,RM,17060380,Velachery,27
1497,2011,24,2,2,4,Partial,1,1972,House,AllPub,Gravel,A,6931750,Karapakkam,39
1640,2013,198,1,1,4,Partial,1,1990,Commercial,NoSeWa,No Access,RH,17704670,Anna_Nagar,23
1747,2009,82,2,1,4,Partial,1,2006,Others,NoSeWa,Paved,RL,10784680,KK_Nagar,3
1342,2010,183,2,2,4,Abnormal,1,2005,Commercial,ELO,No Access,I,9594250,Karapakkam,5
1567,2009,2,2,2,4,Family,0,1987,Others,AllPub,Gravel,C,7725875,Karapakkam,22
1188,2011,187,1,1,3,Partial,0,1993,Commercial,AllPub,No Access,RM,9819500,Karapakkam,18
647,2007,45,1,1,2,Family,1,2001,Commercial,AllPub,No Access,RH,9574550,Adayar,6
2435,2009,124,4,2,6,Partial,1,1984,Commercial,NoSeWa,Gravel,RM,20246360,KK_Nagar,25
1805,2006,29,3,2,5,Adjland,1,1967,Commercial,AllPub,Paved,RL,16930470,Velachery,39
971,2011,15,1,1,3,Normal_sale,0,1977,House,AllPub,Paved,RL,6530500,Karapakkam,34
1657,2009,78,2,2,4,Abnormal,1,2002,Others,NoSeWa,Gravel,RL,10147125,Karapakkam,7
1273,2011,66,2,2,4,Abnormal,0,1981,Others,ELO,No Access,A,7451690,Adayar,30
1185,2013,188,1,1,3,Normal_sale,1,1994,House,ELO,Gravel,RL,10163000,Chrompet,19
1929,2008,84,3,2,5,Normal_sale,0,1970,Others,AllPub,Paved,RH,10173980,KK_Nagar,38
1749,2011,118,1,1,4,Abnormal,0,1991,Others,NoSeWa,No Access,RH,11713410,T_Nagar,20
1962,2011,180,2,1,5,Normal_sale,1,1985,Others,NoSeWa,Paved,RM,15862990,T_Nagar,26
1425,2009,106,2,1,4,Normal_sale,0,1959,House,NoSeWa,Paved,RL,8677280,KK_Nagar,50
1756,2014,12,1,1,4,Partial,0,1989,House,NoSeWa,Gravel,RL,12093570,T_Nagar,25
523,2011,148,1,1,2,Abnormal,1,1999,House,AllPub,Gravel,RM,7390000,Karapakkam,12
1889,2009,160,2,1,5,Partial,1,1978,House,ELO,Gravel,RM,13841050,Anna_Nagar,31
1848,2011,178,3,2,5,Normal_sale,1,1983,Commercial,NoSeWa,Paved,RL,15883280,KK_Nagar,28
1062,2012,15,1,1,3,Adjland,1,1979,House,AllPub,No Access,A,5335750,Karapakkam,33
1535,2007,149,1,1,4,Family,0,1966,Others,ELO,Gravel,RH,11484740,Anna_Nagar,41
1484,2011,54,2,1,4,Partial,1,1964,Others,NoSeWa,Gravel,RH,9771020,KK_Nagar,47
1610,2009,140,2,1,4,Partial,1,1987,Commercial,AllPub,Gravel,RM,15387480,KK_Nagar,22
1019,2010,153,1,1,3,Partial,0,1983,House,ELO,Gravel,C,6663435,Adayar,27
1575,2010,4,2,2,4,Family,1,1980,House,NoSeWa,Paved,RM,9894250,Karapakkam,30
802,2007,161,1,1,3,Abnormal,0,1983,Others,NoSeWa,No Access,RM,7968490,Chrompet,24
766,2010,38,1,1,2,Family,1,2010,Commercial,NoSeWa,Paved,RM,8755500,Karapakkam,0
1887,2013,108,2,1,5,Partial,0,1955,House,ELO,Gravel,RM,13024030,T_Nagar,58
1730,2006,146,2,1,4,Abnormal,1,1986,Others,NoSeWa,No Access,RL,10494410,Velachery,20
1970,2012,65,2,1,5,Partial,1,2000,House,AllPub,No Access,RH,12450910,Anna_Nagar,12
1702,2010,129,2,1,4,Abnormal,0,1982,Commercial,NoSeWa,No Access,I,12225650,Velachery,28
1243,2013,164,2,1,4,Family,1,1994,Commercial,NoSeWa,Gravel,RL,15495150,Chrompet,19
1043,2014,143,1,1,3,Abnormal,1,1998,Others,ELO,No Access,RH,8317410,Chrompet,16
608,2011,41,1,1,2,Family,1,1992,Commercial,ELO,No Access,I,6206250,Karapakkam,19
676,2011,67,1,1,2,Partial,1,1976,Commercial,NoSeWa,No Access,I,8400465,Adayar,35
658,2007,175,1,1,2,Adjland,0,2001,Others,NoSeWa,Gravel,C,6083885,Adayar,6
2112,2009,77,3,2,5,Adjland,0,2001,Commercial,NoSeWa,Gravel,RH,16756460,KK_Nagar,8
1353,2010,20,2,2,4,Abnormal,1,1991,Others,ELO,No Access,RL,8573875,Karapakkam,19
904,2011,82,1,1,3,Normal_sale,1,1977,Others,NoSeWa,No Access,RL,6863000,Karapakkam,34
1279,2010,190,2,2,4,Adjland,0,1969,House,NoSeWa,Gravel,RH,9792910,Adayar,41
1547,2012,23,2,1,4,Abnormal,0,1967,Others,ELO,Gravel,RM,10090590,Velachery,45
1678,2011,200,2,1,4,Partial,0,1990,Commercial,NoSeWa,Paved,RL,13586120,KK_Nagar,21
702,2012,190,1,1,2,Adjland,1,1972,House,ELO,No Access,RM,8021300,Chrompet,40
980,2010,90,1,1,3,Family,1,1974,Commercial,NoSeWa,Paved,RH,11847350,Chrompet,36
1989,2009,185,3,2,5,Adjland,1,1990,House,NoSeWa,Paved,RM,11985600,KK_Nagar,19
1257,2014,163,2,1,4,Normal_sale,0,1987,Commercial,NoSeWa,Paved,RL,13788450,Chrompet,27
606,2011,86,1,1,2,Abnormal,0,1977,Commercial,NoSeWa,No Access,RL,6564750,Karapakkam,34
1449,2011,49,2,2,4,Partial,1,1976,House,NoSeWa,Gravel,RL,8861500,Karapakkam,35
1613,2010,151,2,2,4,Family,1,1995,Others,ELO,Gravel,RL,10169625,Karapakkam,15
934,2014,3,1,1,3,Family,1,1988,House,ELO,Gravel,RH,8469050,Chrompet,26
849,2010,118,1,1,2,Normal_sale,0,2001,Others,NoSeWa,Paved,RH,5668875,Karapakkam,9
1450,2010,169,2,1,4,Adjland,1,1975,Others,AllPub,Paved,RH,10040420,KK_Nagar,35
908,2007,39,1,1,3,Normal_sale,0,1993,Others,AllPub,Paved,RH,7546960,Chrompet,14
1668,2009,141,2,2,4,Abnormal,1,1962,Commercial,ELO,Gravel,RH,13650500,Karapakkam,47
1990,2008,149,3,2,5,Adjland,0,2003,House,NoSeWa,Gravel,RH,10652120,KK_Nagar,5
1444,2010,198,2,1,4,Normal_sale,0,1970,House,AllPub,Gravel,RL,9153720,KK_Nagar,40
1121,2014,106,1,1,3,Partial,1,2004,Others,NoSeWa,Paved,RH,9089520,Chrompet,10
1514,2008,4,2,1,4,Normal_sale,1,1988,House,NoSeWa,Paved,RH,9075660,KK_Nagar,20
1256,2008,34,2,1,4,Abnormal,1,1980,House,AllPub,No Access,RL,9957800,Chrompet,28
672,2009,103,1,1,2,Abnormal,1,1989,Others,NoSeWa,No Access,RH,5805250,Karapakkam,20
1159,2012,121,1,1,3,Adjland,0,1982,Others,NoSeWa,No Access,RH,6149625,Karapakkam,30
1008,2010,30,1,1,3,Partial,0,2000,Commercial,NoSeWa,Gravel,RM,12713050,Chrompet,10
1563,2010,57,2,1,4,Normal_sale,1,1979,Commercial,AllPub,Paved,RM,15664740,Velachery,31
1723,2011,35,2,1,4,Normal_sale,1,1999,House,AllPub,Gravel,RL,11265520,KK_Nagar,12
1543,2006,55,2,1,4,Normal_sale,0,1978,Commercial,ELO,No Access,RM,12900790,Velachery,28
1231,2007,161,2,1,4,Adjland,0,1981,Others,ELO,Gravel,RL,10271420,Chrompet,26
1849,2014,93,2,1,5,Partial,1,1997,Commercial,NoSeWa,Gravel,RM,22084180,T_Nagar,17
1057,2011,187,1,1,3,Adjland,0,1953,Commercial,NoSeWa,Paved,RH,8788500,Karapakkam,58
789,2009,117,1,1,2,Abnormal,0,1991,Commercial,AllPub,Paved,A,8098070,Adayar,18
760,2009,24,1,1,2,Abnormal,1,1976,House,ELO,Paved,RL,8274000,Chrompet,33
1221,2014,62,2,1,4,Abnormal,0,1986,Others,NoSeWa,Gravel,RL,9833270,Chrompet,28
989,2010,193,1,1,3,Normal_sale,1,1994,Others,NoSeWa,Paved,RM,10613930,Chrompet,16
1368,2010,6,2,1,4,Adjland,1,1994,Others,AllPub,Gravel,RL,10801520,KK_Nagar,16
1525,2015,119,1,1,4,Normal_sale,0,1974,Commercial,AllPub,Paved,RL,17566590,Anna_Nagar,41
1122,2010,58,1,1,3,Abnormal,0,1989,Others,NoSeWa,Gravel,I,6889250,Karapakkam,21
787,2012,43,1,1,2,Partial,1,2005,Others,NoSeWa,Gravel,RL,7825375,Karapakkam,7
1616,2009,188,2,1,4,Family,0,1990,House,NoSeWa,Paved,RM,9794230,Velachery,19
756,2013,176,1,1,2,Abnormal,1,1999,Commercial,ELO,No Access,RM,10478100,Chrompet,14
1731,2005,184,2,1,4,Partial,0,1981,Commercial,NoSeWa,Paved,RH,13478680,Velachery,24
929,2010,39,1,1,3,Adjland,1,1970,House,NoSeWa,Paved,RH,8907400,Chrompet,40
1685,2010,58,2,2,4,Abnormal,0,1994,House,NoSeWa,Gravel,C,6922750,Karapakkam,16
1549,2008,77,1,1,4,Adjland,0,1998,House,NoSeWa,Paved,RM,12133650,T_Nagar,10
1898,2007,111,2,1,5,Abnormal,0,1983,Others,NoSeWa,No Access,RM,13485130,Anna_Nagar,24
1072,2008,36,1,1,3,Partial,0,1973,Commercial,AllPub,Gravel,RH,11935950,Chrompet,35
1239,2008,59,2,1,4,Adjland,1,1984,Others,ELO,Gravel,RH,10881130,Chrompet,24
1785,2014,128,1,1,4,Partial,1,1990,Others,NoSeWa,Gravel,RL,14128990,T_Nagar,24
952,2010,167,1,1,3,Partial,0,1974,Commercial,NoSeWa,Gravel,C,10552045,Adayar,36
1153,2008,58,1,1,3,Partial,1,1989,Commercial,AllPub,Paved,RM,14377300,Chrompet,19
1300,2011,72,2,2,4,Abnormal,0,1971,House,AllPub,Gravel,RM,10989305,Adayar,40
1806,2011,12,2,1,5,Normal_sale,0,1978,House,AllPub,Paved,RH,11838240,T_Nagar,33
1782,2005,13,2,1,4,Abnormal,1,1956,Others,AllPub,Gravel,C,10274050,Velachery,49
1582,2011,198,1,1,4,Adjland,0,1981,Commercial,ELO,Paved,RH,17398770,Anna_Nagar,30
1225,2007,72,2,1,4,Abnormal,1,1982,House,NoSeWa,No Access,RL,9680500,Chrompet,25
1727,2010,25,2,1,4,Adjland,1,1980,House,NoSeWa,Gravel,RM,11855060,KK_Nagar,30
1532,2011,80,2,1,4,Family,0,1986,Commercial,ELO,Paved,I,11452010,Velachery,25
1300,2010,77,2,2,4,Normal_sale,0,2004,House,NoSeWa,Paved,RH,9023925,Adayar,6
593,2012,101,1,1,2,Normal_sale,1,1978,Others,ELO,Gravel,A,4863375,Karapakkam,34
809,2011,56,1,1,3,Abnormal,0,1964,House,NoSeWa,Paved,RH,6511200,Chrompet,47
1105,2011,138,1,1,3,Normal_sale,1,1996,Others,NoSeWa,No Access,RH,7511125,Karapakkam,15
542,2009,178,1,1,2,Normal_sale,0,1992,Others,NoSeWa,Paved,A,3013500,Karapakkam,17
1608,2010,10,2,2,4,Abnormal,0,1984,House,ELO,Gravel,RM,9243750,Karapakkam,26
2271,2011,168,4,2,6,Abnormal,0,1982,Commercial,NoSeWa,Gravel,RH,17422860,KK_Nagar,29
1939,2006,149,3,2,5,Adjland,1,1977,Others,NoSeWa,No Access,A,9519320,Velachery,29
1905,2010,6,2,1,5,Abnormal,0,2004,Commercial,ELO,No Access,RM,20591900,Anna_Nagar,6
1057,2015,33,1,1,3,Abnormal,1,1977,House,AllPub,No Access,RH,8111350,Chrompet,38
787,2012,37,1,1,2,Partial,1,1979,Others,ELO,Paved,C,5256625,Karapakkam,33
1527,2008,107,2,1,4,Partial,1,1991,Others,AllPub,Paved,RM,10829380,KK_Nagar,17
1248,2014,77,2,1,4,Family,0,1990,House,AllPub,Gravel,RL,9747000,Chrompet,24
1555,2007,120,2,1,4,Partial,0,2003,House,NoSeWa,Gravel,RL,8762530,Velachery,4
961,2006,31,1,1,3,Abnormal,1,1975,House,AllPub,Paved,RL,9198300,Chrompet,31
1938,2004,70,3,2,5,Normal_sale,1,1990,Commercial,AllPub,Gravel,A,15317750,Velachery,14
1147,2013,31,1,1,3,Abnormal,0,1999,Others,AllPub,Gravel,RM,10152390,Chrompet,14
1976,2008,82,2,1,5,Abnormal,1,2002,Commercial,NoSeWa,Gravel,RL,22829130,Anna_Nagar,6
1472,2008,106,2,1,4,Partial,1,2005,Others,AllPub,Gravel,RM,11506980,KK_Nagar,3
1689,2009,48,1,1,4,Normal_sale,0,1995,Others,AllPub,Paved,RM,13454780,Anna_Nagar,14
1640,2007,26,1,1,4,Partial,0,1988,House,NoSeWa,No Access,RH,10342830,T_Nagar,19
2404,2008,28,4,2,6,Normal_sale,0,1990,House,AllPub,Paved,RH,11040620,KK_Nagar,18
1675,2010,43,2,1,4,Normal_sale,1,1985,Commercial,AllPub,No Access,I,13190720,Velachery,25
1938,2012,24,2,1,5,Normal_sale,1,1998,Commercial,ELO,Gravel,RH,22181670,T_Nagar,14
927,2009,29,1,1,3,Abnormal,1,1981,Commercial,ELO,Gravel,A,10889570,Adayar,28
1976,2009,65,2,1,5,Adjland,0,1972,Commercial,NoSeWa,Paved,RL,21473270,Anna_Nagar,37
1227,2012,151,2,1,4,Partial,1,1989,House,NoSeWa,Paved,RM,10787350,Chrompet,23
1962,2007,84,2,1,5,Family,1,1981,Commercial,ELO,Paved,RM,22449450,Anna_Nagar,26
1261,2009,157,2,1,4,Partial,0,1978,Others,NoSeWa,Paved,RL,9718570,Chrompet,31
1723,2010,24,1,1,4,Adjland,1,1981,Commercial,AllPub,No Access,RL,19909630,T_Nagar,29
1144,2007,128,1,1,3,Normal_sale,1,1992,Commercial,NoSeWa,Gravel,RL,14926255,Adayar,15
1163,2009,3,1,1,3,Partial,1,1960,Others,NoSeWa,Paved,RM,10471560,Chrompet,49
1855,2010,50,3,2,5,Partial,0,2001,House,AllPub,Paved,C,7603630,Velachery,9
563,2011,87,1,1,2,Family,0,2002,Commercial,AllPub,Paved,RM,7116000,Karapakkam,9
943,2011,191,1,1,3,Partial,1,1996,House,NoSeWa,Paved,C,5796000,Karapakkam,15
1676,2014,127,1,1,4,Family,1,1984,House,AllPub,Paved,RL,12961070,T_Nagar,30
856,2010,133,1,1,3,Adjland,0,1977,House,NoSeWa,Gravel,RL,8191250,Chrompet,33
861,2011,195,1,1,2,Adjland,1,1974,Others,NoSeWa,Paved,RL,8245625,Karapakkam,37
